epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1496.73,0.96823,0.71861,1.253,0.87909,0.9056,0.93454,0.67451,1.05217,0.63255,1.30427,0.001571,0.001571,0.001571
67,1520.42,0.95933,0.71427,1.23859,0.89259,0.88722,0.93504,0.66565,1.08354,0.64451,1.36136,0.0015644,0.0015644,0.0015644
68,1543.86,0.97699,0.71223,1.25756,0.88241,0.88124,0.90022,0.63677,1.07982,0.69158,1.3156,0.0015578,0.0015578,0.0015578
69,1567.45,0.98749,0.72214,1.26128,0.87432,0.90036,0.93367,0.64252,1.08633,0.67153,1.32692,0.0015512,0.0015512,0.0015512
70,1590.67,0.96446,0.69292,1.24699,0.90206,0.88494,0.93616,0.62894,1.10906,0.64908,1.35254,0.0015446,0.0015446,0.0015446
71,1614.16,0.95605,0.70805,1.24288,0.86375,0.87984,0.91918,0.63839,1.02783,0.68277,1.29151,0.001538,0.001538,0.001538
72,1637.64,0.986,0.7223,1.26215,0.85464,0.85765,0.91591,0.64236,1.04842,0.71023,1.30211,0.0015314,0.0015314,0.0015314
73,1657.75,0.94028,0.69392,1.23949,0.91723,0.88968,0.94187,0.66596,1.0305,0.65003,1.30279,0.0015248,0.0015248,0.0015248
74,1681.26,0.98033,0.71066,1.25891,0.89978,0.89457,0.9361,0.65386,1.08968,0.64429,1.35212,0.0015182,0.0015182,0.0015182
75,1704.74,0.94404,0.67763,1.24701,0.85832,0.91103,0.9289,0.66298,1.0732,0.6353,1.32884,0.0015116,0.0015116,0.0015116
76,1728.25,0.96812,0.69144,1.23975,0.89674,0.86534,0.93428,0.66413,1.02777,0.65134,1.28212,0.001505,0.001505,0.001505
77,1751.74,0.9374,0.68995,1.24071,0.90227,0.88711,0.94292,0.67665,1.02181,0.64264,1.28247,0.0014984,0.0014984,0.0014984
78,1775.2,0.95114,0.69104,1.24505,0.90059,0.88968,0.94087,0.6753,1.01824,0.60367,1.294,0.0014918,0.0014918,0.0014918
79,1797.12,0.969,0.69385,1.25021,0.89962,0.89302,0.92926,0.6696,1.05987,0.63023,1.31185,0.0014852,0.0014852,0.0014852
80,1817.16,0.94442,0.68303,1.24457,0.89521,0.88166,0.92439,0.66806,1.03286,0.68818,1.29219,0.0014786,0.0014786,0.0014786
81,1838.63,0.93692,0.6827,1.23924,0.93361,0.88256,0.94831,0.68574,1.0002,0.60543,1.27404,0.001472,0.001472,0.001472
82,1862.08,0.93201,0.68355,1.24143,0.91229,0.88834,0.94096,0.67218,1.01753,0.62077,1.30089,0.0014654,0.0014654,0.0014654
83,1885.41,0.93467,0.67857,1.23345,0.87346,0.92883,0.9359,0.68041,1.01816,0.60982,1.29395,0.0014588,0.0014588,0.0014588
84,1908.42,0.9426,0.68931,1.23988,0.91817,0.87841,0.94179,0.66309,1.05286,0.63569,1.31409,0.0014522,0.0014522,0.0014522
85,1931.26,0.93391,0.69178,1.23358,0.89513,0.879,0.9449,0.67822,1.00541,0.62202,1.31699,0.0014456,0.0014456,0.0014456
86,1954.17,0.93839,0.66894,1.23252,0.90662,0.84342,0.91226,0.65148,1.00246,0.65252,1.30414,0.001439,0.001439,0.001439
87,1977.04,0.92704,0.66735,1.22825,0.88362,0.879,0.93556,0.67434,0.99935,0.61508,1.28334,0.0014324,0.0014324,0.0014324
88,2000.11,0.94818,0.66502,1.22887,0.864,0.89324,0.9337,0.68184,0.99288,0.62528,1.26892,0.0014258,0.0014258,0.0014258
89,2023.21,0.90885,0.66121,1.22089,0.87678,0.88968,0.92427,0.64999,1.07014,0.6564,1.3144,0.0014192,0.0014192,0.0014192
90,2045.97,0.90819,0.67,1.22214,0.89215,0.86477,0.90625,0.65252,1.0312,0.6678,1.34103,0.0014126,0.0014126,0.0014126
91,2069.17,0.90572,0.65937,1.22348,0.88581,0.91104,0.92931,0.68396,0.97701,0.61682,1.25221,0.001406,0.001406,0.001406
92,2092.24,0.89531,0.65316,1.20499,0.891,0.8727,0.92056,0.65652,0.98448,0.67497,1.27115,0.0013994,0.0013994,0.0013994
93,2115.32,0.92586,0.65558,1.21628,0.89741,0.90036,0.92203,0.67252,1.00374,0.61869,1.2852,0.0013928,0.0013928,0.0013928
94,2137.91,0.89876,0.66563,1.21504,0.91651,0.90391,0.94267,0.69056,0.94374,0.62042,1.25267,0.0013862,0.0013862,0.0013862
95,2160.42,0.90538,0.66048,1.21156,0.89539,0.91384,0.92774,0.66482,0.98066,0.65277,1.27516,0.0013796,0.0013796,0.0013796
96,2183.21,0.91778,0.6611,1.22098,0.88454,0.89324,0.93886,0.68093,1.00055,0.61698,1.27473,0.001373,0.001373,0.001373
