epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2538.62,0.70603,0.55245,1.0914,0.87642,0.91011,0.91017,0.67167,0.81941,0.54283,1.20705,0.0012212,0.0012212,0.0012212
120,2560.56,0.72647,0.58726,1.10593,0.87274,0.87332,0.91211,0.67689,0.85141,0.56685,1.22829,0.0012146,0.0012146,0.0012146
121,2582.49,0.72785,0.59146,1.10923,0.87833,0.92884,0.9357,0.68076,0.8293,0.54516,1.20007,0.001208,0.001208,0.001208
122,2602.67,0.72278,0.5691,1.10908,0.88329,0.88015,0.93047,0.67011,0.85371,0.55265,1.23168,0.0012014,0.0012014,0.0012014
123,2622.89,0.71664,0.56732,1.10712,0.88159,0.8923,0.91993,0.67981,0.81994,0.55368,1.21424,0.0011948,0.0011948,0.0011948
124,2644.79,0.72027,0.56541,1.09922,0.87783,0.91502,0.92537,0.67084,0.81748,0.55785,1.2232,0.0011882,0.0011882,0.0011882
125,2666.73,0.70949,0.5568,1.10017,0.90471,0.88895,0.9214,0.68288,0.78748,0.55918,1.18197,0.0011816,0.0011816,0.0011816
126,2688.67,0.71619,0.57215,1.09222,0.89977,0.90778,0.92314,0.66244,0.87234,0.57098,1.2283,0.001175,0.001175,0.001175
127,2710.65,0.71586,0.55071,1.08901,0.89095,0.92884,0.9353,0.69192,0.82891,0.56137,1.17832,0.0011684,0.0011684,0.0011684
128,2732.58,0.71503,0.57376,1.09908,0.91544,0.8839,0.93266,0.68077,0.86849,0.54866,1.22714,0.0011618,0.0011618,0.0011618
129,2752.88,0.7009,0.54735,1.08701,0.87063,0.90739,0.92732,0.67876,0.84516,0.55728,1.19948,0.0011552,0.0011552,0.0011552
130,2774.76,0.71272,0.55919,1.09209,0.87994,0.89139,0.92311,0.68081,0.78729,0.56419,1.1687,0.0011486,0.0011486,0.0011486
131,2796.68,0.69362,0.54024,1.0878,0.90364,0.87804,0.92665,0.68851,0.8202,0.54178,1.20633,0.001142,0.001142,0.001142
132,2818.59,0.7038,0.55377,1.08726,0.88654,0.9176,0.91658,0.66614,0.83587,0.57395,1.20993,0.0011354,0.0011354,0.0011354
133,2839.05,0.69254,0.54594,1.08398,0.88392,0.89888,0.91941,0.69437,0.80101,0.53568,1.19125,0.0011288,0.0011288,0.0011288
134,2859.34,0.69495,0.55863,1.08518,0.91602,0.86517,0.92898,0.68589,0.85201,0.52674,1.20714,0.0011222,0.0011222,0.0011222
135,2881.23,0.69407,0.54359,1.08613,0.91887,0.89077,0.93992,0.69808,0.82579,0.49282,1.19522,0.0011156,0.0011156,0.0011156
136,2900.93,0.68746,0.54179,1.08023,0.89632,0.89888,0.92705,0.69025,0.82091,0.53179,1.18167,0.001109,0.001109,0.001109
137,2919.55,0.70949,0.56385,1.08257,0.9222,0.90637,0.91616,0.67864,0.85508,0.53713,1.21332,0.0011024,0.0011024,0.0011024
138,2941.39,0.69134,0.55864,1.07592,0.91854,0.88015,0.92798,0.69487,0.82344,0.55267,1.17558,0.0010958,0.0010958,0.0010958
139,2963.28,0.695,0.54527,1.08337,0.90368,0.87843,0.92652,0.69723,0.81367,0.52338,1.20827,0.0010892,0.0010892,0.0010892
140,2983.91,0.69351,0.5361,1.09217,0.90806,0.9176,0.94616,0.70955,0.78893,0.52928,1.1863,0.0010826,0.0010826,0.0010826
141,3005.84,0.68078,0.55249,1.07948,0.90331,0.90637,0.92542,0.68615,0.81297,0.54133,1.17999,0.001076,0.001076,0.001076
142,3024.22,0.68702,0.54107,1.09072,0.90441,0.89888,0.92962,0.68445,0.83053,0.53393,1.20918,0.0010694,0.0010694,0.0010694
143,3046.15,0.68576,0.54642,1.08451,0.90173,0.89359,0.93117,0.68646,0.80979,0.51711,1.20151,0.0010628,0.0010628,0.0010628
144,3068.1,0.68194,0.53318,1.08174,0.92964,0.89513,0.94341,0.70129,0.80743,0.49825,1.17541,0.0010562,0.0010562,0.0010562
145,3088.33,0.67951,0.54532,1.07946,0.9097,0.90559,0.94133,0.70627,0.78679,0.51372,1.1609,0.0010496,0.0010496,0.0010496
146,3110.25,0.68647,0.54426,1.08026,0.90737,0.89888,0.9284,0.68377,0.80138,0.5291,1.16783,0.001043,0.001043,0.001043
147,3130.71,0.68758,0.52313,1.0784,0.90309,0.9075,0.92544,0.68052,0.83971,0.52021,1.19627,0.0010364,0.0010364,0.0010364
148,3152.64,0.67796,0.54386,1.08011,0.91388,0.91415,0.95217,0.72227,0.77766,0.50119,1.14639,0.0010298,0.0010298,0.0010298
149,3172.87,0.6808,0.52858,1.08124,0.92215,0.90637,0.94247,0.68607,0.83364,0.52427,1.23086,0.0010232,0.0010232,0.0010232
150,3193.68,0.68912,0.53847,1.08352,0.88253,0.92851,0.94329,0.69384,0.81496,0.51132,1.18562,0.0010166,0.0010166,0.0010166
151,3212.44,0.67749,0.54514,1.08247,0.91146,0.88764,0.92796,0.69451,0.79994,0.5212,1.20178,0.00101,0.00101,0.00101
152,3234.25,0.67678,0.53361,1.08144,0.89516,0.90637,0.94015,0.7008,0.77592,0.51324,1.16414,0.0010034,0.0010034,0.0010034
153,3256.19,0.67245,0.5431,1.07366,0.90433,0.92044,0.93521,0.69645,0.80158,0.51826,1.19164,0.0009968,0.0009968,0.0009968
154,3278.18,0.66736,0.52164,1.06829,0.90743,0.9178,0.93485,0.70349,0.78275,0.49067,1.21228,0.0009902,0.0009902,0.0009902
155,3299.91,0.66224,0.51641,1.0671,0.90339,0.92884,0.95033,0.7125,0.79279,0.50205,1.19052,0.0009836,0.0009836,0.0009836
156,3321.85,0.68346,0.52934,1.07582,0.89085,0.92509,0.94433,0.68885,0.81769,0.51518,1.22219,0.000977,0.000977,0.000977
157,3339.88,0.68492,0.53417,1.07722,0.90651,0.90795,0.9458,0.70414,0.79352,0.51876,1.21436,0.0009704,0.0009704,0.0009704
158,3361.92,0.66388,0.53757,1.07631,0.90242,0.90059,0.94643,0.69233,0.78582,0.50389,1.20345,0.0009638,0.0009638,0.0009638
159,3383.93,0.67249,0.53061,1.07699,0.89379,0.92884,0.94674,0.68634,0.79318,0.49472,1.20816,0.0009572,0.0009572,0.0009572
160,3405.89,0.64881,0.51099,1.06055,0.90199,0.89888,0.92247,0.68297,0.80184,0.53805,1.20892,0.0009506,0.0009506,0.0009506
161,3427.82,0.67102,0.53481,1.06263,0.89626,0.9176,0.9425,0.71085,0.79316,0.512,1.18545,0.000944,0.000944,0.000944
162,3449.8,0.65862,0.51781,1.06434,0.9197,0.90086,0.9423,0.70476,0.78422,0.50166,1.17638,0.0009374,0.0009374,0.0009374
163,3471.8,0.65521,0.5241,1.06812,0.91051,0.91452,0.93834,0.69959,0.8288,0.52982,1.20894,0.0009308,0.0009308,0.0009308
164,3493.8,0.65833,0.50891,1.06342,0.92799,0.9176,0.94975,0.7062,0.82195,0.51761,1.21547,0.0009242,0.0009242,0.0009242
165,3515.75,0.65328,0.52887,1.06608,0.907,0.89139,0.94288,0.69339,0.84989,0.53018,1.23612,0.0009176,0.0009176,0.0009176
166,3537.76,0.6594,0.51188,1.06797,0.92714,0.90554,0.94191,0.69472,0.83838,0.51125,1.23299,0.000911,0.000911,0.000911
167,3555.89,0.66778,0.50948,1.07267,0.91791,0.90262,0.93419,0.69899,0.8272,0.50666,1.20904,0.0009044,0.0009044,0.0009044
168,3577.8,0.64505,0.51203,1.06297,0.93975,0.90262,0.94293,0.71081,0.80214,0.51341,1.17762,0.0008978,0.0008978,0.0008978
169,3599.74,0.64856,0.5162,1.05612,0.91452,0.92161,0.93787,0.69564,0.81107,0.49967,1.19266,0.0008912,0.0008912,0.0008912
170,3620.11,0.65503,0.50203,1.06179,0.90509,0.92865,0.93382,0.70238,0.78758,0.51351,1.17497,0.0008846,0.0008846,0.0008846
171,3641.93,0.64802,0.51839,1.05864,0.91569,0.90262,0.9377,0.71268,0.78902,0.51623,1.18496,0.000878,0.000878,0.000878
172,3662.8,0.65188,0.51066,1.06399,0.92672,0.89994,0.93883,0.70197,0.82704,0.52145,1.19417,0.0008714,0.0008714,0.0008714
173,3684.7,0.62046,0.49683,1.05051,0.91595,0.88764,0.93218,0.70019,0.77455,0.51464,1.17556,0.0008648,0.0008648,0.0008648
174,3703.45,0.63774,0.49811,1.05495,0.90269,0.90333,0.93379,0.70004,0.77993,0.52633,1.17245,0.0008582,0.0008582,0.0008582
175,3725.37,0.63831,0.48882,1.05405,0.91444,0.90637,0.9348,0.71268,0.77163,0.49362,1.17478,0.0008516,0.0008516,0.0008516
176,3745.63,0.64658,0.50031,1.05561,0.89954,0.90546,0.93773,0.70948,0.78164,0.49049,1.17895,0.000845,0.000845,0.000845
177,3767.48,0.64861,0.50341,1.06144,0.93433,0.90591,0.9478,0.7098,0.81687,0.48889,1.18834,0.0008384,0.0008384,0.0008384
178,3789.42,0.64923,0.50932,1.06709,0.91877,0.88963,0.93115,0.69707,0.80619,0.49414,1.1771,0.0008318,0.0008318,0.0008318
179,3811.5,0.63263,0.48749,1.05443,0.91255,0.90262,0.93906,0.70156,0.79609,0.48876,1.19558,0.0008252,0.0008252,0.0008252
180,3833.41,0.65473,0.51087,1.06641,0.89888,0.89139,0.93684,0.69474,0.80683,0.48506,1.20311,0.0008186,0.0008186,0.0008186
181,3855.42,0.63133,0.49713,1.04988,0.89211,0.89888,0.9337,0.70392,0.80374,0.52317,1.18557,0.000812,0.000812,0.000812
182,3875.83,0.63485,0.49133,1.06087,0.92735,0.90835,0.94801,0.70664,0.81482,0.48174,1.19643,0.0008054,0.0008054,0.0008054
